2021-06-28 13:29:51,391: 's'
2021-06-28 13:29:51,538: 's'
2021-06-28 13:29:51,692: 's'
2021-06-28 13:29:53,283: 's'
2021-06-28 13:29:53,444: 'i'
2021-06-28 13:29:53,533: 'e'
2021-06-28 13:29:53,603: 'm'
2021-06-28 13:29:53,701: 'a'
2021-06-28 13:30:58,544: 'n'
2021-06-28 13:30:58,588: 'o'
2021-06-28 13:30:58,682: Key.space
2021-06-28 13:30:58,877: 'i'
2021-06-28 13:30:59,019: Key.space
2021-06-28 13:30:59,493: 'c'
2021-06-28 13:30:59,559: 'o'
2021-06-28 13:30:59,760: Key.space
2021-06-28 13:30:59,984: 't'
2021-06-28 13:31:00,047: 'a'
2021-06-28 13:31:00,079: 'm'
2021-06-28 13:31:02,576: 'n'
2021-06-28 13:31:02,616: 'o'
2021-06-28 13:31:02,680: Key.space
2021-06-28 13:31:02,826: 'i'
2021-06-28 13:31:02,914: Key.space
2021-06-28 13:31:03,359: Key.ctrl_l
2021-06-28 13:31:03,382: '\x01'
2021-06-28 13:31:03,445: Key.backspace
2021-06-28 13:32:40,872: 'c'
2021-06-28 13:32:40,965: 'o'
2021-06-28 13:32:41,212: Key.space
2021-06-28 13:32:41,366: 't'
2021-06-28 13:32:41,433: 'a'
2021-06-28 13:32:41,472: 'm'
2021-06-28 13:32:51,413: 's'
2021-06-28 13:32:52,390: Key.backspace
2021-06-28 13:32:58,999: '1'
2021-06-28 13:32:59,110: Key.space
2021-06-28 13:32:59,614: Key.backspace
2021-06-28 13:32:59,644: '2'
2021-06-28 13:32:59,748: Key.space
2021-06-28 13:32:59,892: 'g'
2021-06-28 13:32:59,955: 'r'
2021-06-28 13:33:00,046: 'o'
2021-06-28 13:33:00,349: 'y'
2021-06-28 13:33:00,630: Key.backspace
2021-06-28 13:33:00,730: 's'
2021-06-28 13:33:00,779: 'z'
2021-06-28 13:33:00,916: 'y'
2021-06-28 13:33:00,964: Key.space
2021-06-28 13:33:01,198: 't'
2021-06-28 13:33:01,375: 'y'
2021-06-28 13:33:01,441: 'l'
2021-06-28 13:33:01,498: 'k'
2021-06-28 13:33:01,624: 'o'
2021-06-28 13:33:01,704: Key.space
2021-06-28 13:33:01,818: 'n'
2021-06-28 13:33:01,880: 'i'
2021-06-28 13:33:01,958: 'e'
2021-06-28 13:33:01,968: Key.space
2021-06-28 13:33:02,344: 'p'
2021-06-28 13:33:02,589: Key.ctrl_l
2021-06-28 13:33:02,589: Key.alt_gr
2021-06-28 13:33:02,637: '³'
2021-06-28 13:33:02,787: 'a'
2021-06-28 13:33:02,870: 'c'
2021-06-28 13:33:02,958: 'z'
2021-06-28 13:33:03,012: Key.space
2021-06-28 13:33:03,106: 'p'
2021-06-28 13:33:03,242: 'r'
2021-06-28 13:33:03,347: 'o'
2021-06-28 13:33:03,461: 's'
2021-06-28 13:33:03,526: 'z'
2021-06-28 13:33:03,596: Key.ctrl_l
2021-06-28 13:33:03,596: Key.alt_gr
2021-06-28 13:33:03,648: 'ê'
2021-06-28 13:33:08,393: Key.ctrl_l
2021-06-28 13:33:08,414: Key.shift
2021-06-28 13:33:08,596: Key.esc
2021-06-28 13:33:10,537: 'c'
2021-06-28 13:33:10,596: 'o'
2021-06-28 13:33:10,700: Key.space
2021-06-28 13:33:10,772: 't'
2021-06-28 13:33:10,822: 'a'
2021-06-28 13:33:10,855: 'm'
